Año_Transfer,Periodo_de_corte,Nit_Transfer,Name_Entidad,Codigo_Departamento,Departamento,Codigo_del_Impuesto,Concepto,Tipo_Sorteo,ValorTransferido,Mes
2020,1,899999270,Lotería de Bogotá,15,Boyacá,1,Impuesto a foráneas,Ordinario,8061000,Enero
2020,1,800123949,Lotería del Meta,54,Norte De Santander,1,Impuesto a foráneas,Ordinario,8325,Enero
2020,1,890980058,Lotería de Medellín,19,Cauca,1,Impuesto a foráneas,Ordinario,5366250,Enero
2020,1,800244699,Lotería del Huila,68,Santander,1,Impuesto a foráneas,Ordinario,399150,Enero
2020,1,890801007,Lotería de Manizales,17,Caldas,9,Premios No Reclamados,Ordinario,63846782,Enero
2020,1,800123949,Lotería del Meta,18,Caquetá,1,Impuesto a foráneas,Ordinario,210375,Enero
2020,1,890000474,Lotería del Quindio,73,Tolima,1,Impuesto a foráneas,Ordinario,3264900,Enero
2020,1,800240153,Lotería del Risaralda,66,Risaralda,9,Premios No Reclamados,Ordinario,32636157,Enero
2020,1,800240153,Lotería del Risaralda,63,Quindio,1,Impuesto a foráneas,Ordinario,6843600,Enero
2020,1,890801007,Lotería de Manizales,54,Norte De Santander,1,Impuesto a foráneas,Ordinario,6286875,Enero
2020,1,890980058,Lotería de Medellín,17,Caldas,1,Impuesto a foráneas,Ordinario,12160800,Enero
2020,1,890201725,Lotería Santander,95,Guaviare,1,Impuesto a foráneas,Ordinario,135750,Enero
2020,1,891500650,Lotería del Cauca,94,Guainía,1,Impuesto a foráneas,Ordinario,43875,Enero
2020,1,891801039,Lotería de Boyacá,66,Risaralda,1,Impuesto a foráneas,Ordinario,15489375,Enero
2020,1,809008775,Lotería del Tolima,50,Meta,1,Impuesto a foráneas,Ordinario,486450,Enero
2020,1,891801039,Lotería de Boyacá,95,Guaviare,1,Impuesto a foráneas,Ordinario,738000,Enero
